ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
2,393,"Mancopsetta maculata",-51.7117_76.535_1990_5_24_232,-51.711700,76.535000,24,5,1990
1,143,"Mancopsetta maculata",-52.0633_73.6867_1990_6_14_306,-52.063300,73.686700,14,6,1990
1,254,"Mancopsetta maculata",-52.7083_75.1283_1990_5_23_397,-52.708300,75.128300,23,5,1990
1,246,"Mancopsetta maculata",-51.6283_76.0433_1990_6_4_246,-51.628300,76.043300,4,6,1990
2,394,"Mancopsetta maculata",-51.8833_73.8433_1990_6_9_315,-51.883300,73.843300,9,6,1990
1,686,"Alepisaurus brevirostris",-54.5033_158.955_1983_6_1_,-54.503300,158.955000,1,6,1983
21,8317,"Bathyraja eatonii",-52.655_75.4_1993_9_19_454,-52.655000,75.400000,19,9,1993
2,649,"Bathyraja eatonii",-52.6183_73.0533_1993_9_17_252,-52.618300,73.053300,17,9,1993
2,1175,"Bathyraja eatonii",-52.57_74.99_1992_1_29_367,-52.570000,74.990000,29,1,1992
6,3994,"Bathyraja eatonii",-52.6233_75.1133_1992_1_26_248,-52.623300,75.113300,26,1,1992
3,913,"Bathyraja eatonii",-52.555_72.5917_1993_9_16_275,-52.555000,72.591700,16,9,1993
1,732,"Bathyraja eatonii",-52.7167_74.4333_1992_1_26_185,-52.716700,74.433300,26,1,1992
4,2151,"Bathyraja eatonii",-52.5167_73.1333_1992_1_25_228,-52.516700,73.133300,25,1,1992
2,962,"Bathyraja eatonii",-52.495_74.8767_1990_6_2_235,-52.495000,74.876700,2,6,1990
1,592,"Bathyraja eatonii",-52.2333_74.25_1992_2_10_256,-52.233300,74.250000,10,2,1992
4,2972,"Bathyraja eatonii",-52.4983_75.09_1992_1_29_210,-52.498300,75.090000,29,1,1992
2,464,"Bathyraja eatonii",-52.475_72.7067_1990_6_12_288,-52.475000,72.706700,12,6,1990
4,,"Bathyraja eatonii",-51.8617_74.3483_1990_6_9_305,-51.861700,74.348300,9,6,1990
1,494,"Bathyraja eatonii",-52.675_72.9217_1992_1_25_215,-52.675000,72.921700,25,1,1992
1,770,"Bathyraja eatonii",-52.7217_74.1817_1990_6_17_196,-52.721700,74.181700,17,6,1990
3,1342,"Bathyraja eatonii",-53.2017_73.725_1990_6_19_136,-53.201700,73.725000,19,6,1990
24,7643,"Bathyraja eatonii",-52.5717_74.3833_1990_6_20_226,-52.571700,74.383300,20,6,1990
6,4092,"Bathyraja eatonii",-57.5383_76.0167_1992_1_30_230,-57.538300,76.016700,30,1,1992
2,1020,"Bathyraja eatonii",-52.6867_73.98_1992_1_25_200,-52.686700,73.980000,25,1,1992
4,2509,"Bathyraja eatonii",-52.465_75.0233_1992_2_11_214,-52.465000,75.023300,11,2,1992
1,730,"Bathyraja eatonii",-52.8817_73.8383_1992_1_24_173,-52.881700,73.838300,24,1,1992
3,1943,"Bathyraja eatonii",-52.0667_74.2_1992_2_10_280,-52.066700,74.200000,10,2,1992
3,2240,"Bathyraja eatonii",-52.4733_74.9883_1992_2_11_216,-52.473300,74.988300,11,2,1992
1,862,"Bathyraja eatonii",-52.7_74.1833_1992_1_26_190,-52.700000,74.183300,26,1,1992
4,2675,"Bathyraja eatonii",-52.4567_74.615_1992_2_10_316,-52.456700,74.615000,10,2,1992
3,2164,"Bathyraja eatonii",-51.5833_75.9033_1992_1_30_254,-51.583300,75.903300,30,1,1992
1,364,"Bathyraja eatonii",-51.8083_73.3833_1993_9_16_457,-51.808300,73.383300,16,9,1993
2,1220,"Bathyraja eatonii",-52.6783_72.995_1990_6_20_210,-52.678300,72.995000,20,6,1990
2,785,"Bathyraja eatonii",-53.4833_158.9333_1990_6_18_96,-53.483300,158.933300,18,6,1990
3,2130,"Bathyraja eatonii",-51.3783_75.82_1990_5_25_257,-51.378300,75.820000,25,5,1990
1,735,"Bathyraja eatonii",-52.6833_72.4667_1992_2_9_334,-52.683300,72.466700,9,2,1992
1,778,"Bathyraja eatonii",-57.6333_76.0167_1992_1_30_235,-57.633300,76.016700,30,1,1992
1,227,"Bathyraja eatonii",-52.16_74.5217_1993_9_18_253,-52.160000,74.521700,18,9,1993
1,432,"Bathyraja eatonii",-53.1183_73.185_1990_6_20_193,-53.118300,73.185000,20,6,1990
1,725,"Bathyraja eatonii",-51.8833_73.8433_1990_6_9_315,-51.883300,73.843300,9,6,1990
6,4280,"Bathyraja eatonii",-52.5667_75.0667_1992_2_11_228,-52.566700,75.066700,11,2,1992
2,,"Bathyraja eatonii",-52.9733_73.86_1990_6_19_93,-52.973300,73.860000,19,6,1990
1,760,"Bathyraja eatonii",-52.56_73.21_1993_9_17_255,-52.560000,73.210000,17,9,1993
2,613,"Bathyraja eatonii",-52.5617_75.09_1990_6_21_251,-52.561700,75.090000,21,6,1990
1,715,"Bathyraja eatonii",-53.2117_72.9433_1990_6_1_264,-53.211700,72.943300,1,6,1990
6,2544,"Bathyraja eatonii",-52.8667_74.135_1990_6_17_174,-52.866700,74.135000,17,6,1990
1,880,"Bathyraja eatonii",-52.6783_75.0017_1992_1_26_513,-52.678300,75.001700,26,1,1992
1,251,"Bathyraja eatonii",-52.305_73.2567_1990_6_13_247,-52.305000,73.256700,13,6,1990
4,2534,"Bathyraja eatonii",-52.5367_75.1733_1992_2_11_278,-52.536700,75.173300,11,2,1992
1,675,"Bathyraja eatonii",-52.325_73.4217_1993_9_17_252,-52.325000,73.421700,17,9,1993
1,482,"Bathyraja eatonii",-52.9417_73.3417_1992_1_23_176,-52.941700,73.341700,23,1,1992
1,236,"Bathyraja eatonii",-52.5733_73.2633_1990_6_19_234,-52.573300,73.263300,19,6,1990
3,1182,"Bathyraja eatonii",-52.4567_74.6467_1990_6_2_242,-52.456700,74.646700,2,6,1990
5,3342,"Bathyraja eatonii",-52.49_75.09_1992_1_29_210,-52.490000,75.090000,29,1,1992
4,1598,"Bathyraja eatonii",-52.67_74.0483_1990_6_17_205,-52.670000,74.048300,17,6,1990
2,1400,"Bathyraja eatonii",-52.53_74.9717_1992_2_10_408,-52.530000,74.971700,10,2,1992
2,1347,"Bathyraja eatonii",-52.55_75.1167_1992_2_11_207,-52.550000,75.116700,11,2,1992
1,673,"Bathyraja eatonii",-52.5583_75.0633_1993_9_6_221,-52.558300,75.063300,6,9,1993
1,395,"Bathyraja eatonii",-52.41_72.0917_1992_2_6_231,-52.410000,72.091700,6,2,1992
29,7881,"Bathyraja eatonii",-52.3017_72.8333_1990_6_12_267,-52.301700,72.833300,12,6,1990
1,705,"Bathyraja eatonii",-53.1767_72.9417_1992_1_24_241,-53.176700,72.941700,24,1,1992
2,1499,"Bathyraja eatonii",-52.1917_74.89_1992_1_29_274,-52.191700,74.890000,29,1,1992
1,,"Bathyraja eatonii",-51.3267_72.0267_1990_6_7_270,-51.326700,72.026700,7,6,1990
1,745,"Bathyraja eatonii",-51.4783_75.7117_1990_6_4_344,-51.478300,75.711700,4,6,1990
1,720,"Bathyraja eatonii",-51.1317_72.5733_1990_6_7_285,-51.131700,72.573300,7,6,1990
5,2502,"Bathyraja eatonii",-52.2833_72.85_1992_2_9_260,-52.283300,72.850000,9,2,1992
8,2469,"Bathyraja maccaini",-66.9983_74.3117_1991_2_23_439,-66.998300,74.311700,23,2,1991
1,,"Bathyraja maccaini",-67.1917_78.2317_1987_2_25_208,-67.191700,78.231700,25,2,1987
